state,year,month,year_month,dengueCases,zikaCases,chikvCases,pop_tot,dengueIncidence,zikaIncidence,chikvIncidence
PB,2016,10,2016-10-01,321,5,83,3976851,8.071713021181834,0.12572761715236502,2.087078444729259
PB,2016,11,2016-11-01,122,9,67,3976851,3.0677538585177064,0.22630971087425705,1.6847500698416915
PB,2016,12,2016-12-01,75,9,29,3976851,1.8859142572854755,0.22630971087425705,0.7292201794837172
PB,2017,1,2017-01-01,170,17,37,4002896,4.246925226136278,0.4246925226136277,0.9243307845120132
PB,2017,2,2017-02-01,248,29,29,4002896,6.195514447539981,0.7244754797526591,0.7244754797526591
PB,2017,3,2017-03-01,386,46,32,4002896,9.643018454638842,1.1491680023662867,0.7994212190374168
PB,2017,4,2017-04-01,422,19,21,4002896,10.542367326055937,0.4746563488034663,0.5246201749933048
PB,2017,5,2017-05-01,316,9,37,4002896,7.894284537994492,0.22483721785427352,0.9243307845120132
PB,2017,6,2017-06-01,355,36,52,4002896,8.868579148696343,0.8993488714170941,1.2990594809358025
PB,2017,7,2017-07-01,393,15,59,4002896,9.817891846303278,0.37472869642378914,1.4739328726002374
PB,2017,8,2017-08-01,441,30,112,4002896,11.017023674859402,0.7494573928475783,2.797974266630959
PB,2017,9,2017-09-01,358,14,70,4002896,8.943524887981102,0.3497467833288699,1.7487339166443496
PB,2017,10,2017-10-01,284,23,55,4002896,7.094863318957075,0.5745840011831433,1.3740052202205604
PB,2017,11,2017-11-01,263,39,62,4002896,6.57024314396377,0.9742946107018519,1.5488786118849953
PB,2017,12,2017-12-01,225,12,30,4002896,5.620930446356837,0.29978295713903136,0.7494573928475783
PB,2018,1,2018-01-01,353,30,36,3973940,8.882871910496887,0.7549182926767892,0.9059019512121471
PB,2018,2,2018-02-01,392,23,39,3973940,9.864265690976714,0.5787706910522051,0.9813937804798261
PB,2018,3,2018-03-01,729,34,64,3973940,18.34451451204598,0.8555740650336945,1.6104923577104837
PB,2018,4,2018-04-01,1893,74,49,3973940,47.6353442679054,1.8621317886027469,1.2330332113720892
PB,2018,5,2018-05-01,2590,118,100,3973940,65.17461260109614,2.9693452845287043,2.516394308922631
PB,2018,6,2018-06-01,2086,140,101,3973940,52.49198528412608,3.522952032491683,2.5415582520118574
PB,2018,7,2018-07-01,1035,90,114,3973940,26.04468109734923,2.264754878030368,2.868689512171799
PB,2018,8,2018-08-01,739,36,89,3973940,18.596153942938244,0.9059019512121471,2.2395909349411416
PB,2018,9,2018-09-01,436,35,45,3973940,10.97147918690267,0.8807380081229208,1.132377439015184
PB,2018,10,2018-10-01,282,25,32,3973940,7.096231951161819,0.6290985772306578,0.8052461788552419
PB,2018,11,2018-11-01,259,49,25,3973940,6.517461260109614,1.2330332113720892,0.6290985772306578
PB,2018,12,2018-12-01,234,33,19,3973940,5.888362682878956,0.8304101219444682,0.4781149186952999
PB,2019,1,2019-01-01,329,23,15,4018127,8.187894509058573,0.5724059991135173,0.37330826029142433
PB,2019,2,2019-02-01,548,27,18,4018127,13.63819510931337,0.6719548685245638,0.44796991234970923
